symbol,date,price
simonmcmanus,20170101,1
simonmcmanus,20170102,7
simonmcmanus,20170103,1
simonmcmanus,20170104,9
simonmcmanus,20170105,7
simonmcmanus,20170106,5
simonmcmanus,20170107,5
simonmcmanus,20170108,2
simonmcmanus,20170109,5
simonmcmanus,20170110,4
simonmcmanus,20170111,11
simonmcmanus,20170112,5
simonmcmanus,20170113,3
simonmcmanus,20170114,2
simonmcmanus,20170115,2
simonmcmanus,20170116,8
simonmcmanus,20170117,5
simonmcmanus,20170118,5
simonmcmanus,20170119,9
simonmcmanus,20170120,6
simonmcmanus,20170121,2
simonmcmanus,20170122,5
simonmcmanus,20170123,5
simonmcmanus,20170124,11
simonmcmanus,20170125,2
simonmcmanus,20170126,9
simonmcmanus,20170127,5
simonmcmanus,20170128,9
simonmcmanus,20170129,7
simonmcmanus,20170130,5
simonmcmanus,20170131,4
simonmcmanus,20170201,8
simonmcmanus,20170202,7
simonmcmanus,20170203,7
simonmcmanus,20170204,6
simonmcmanus,20170205,4
simonmcmanus,20170206,7
simonmcmanus,20170207,13
simonmcmanus,20170208,2
simonmcmanus,20170209,2
simonmcmanus,20170210,7
simonmcmanus,20170211,4
simonmcmanus,20170212,1
simonmcmanus,20170213,5
simonmcmanus,20170214,10
simonmcmanus,20170215,8
simonmcmanus,20170216,4
simonmcmanus,20170217,8
simonmcmanus,20170218,3
simonmcmanus,20170219,3
simonmcmanus,20170220,9
simonmcmanus,20170221,8
simonmcmanus,20170222,4
simonmcmanus,20170223,5
simonmcmanus,20170224,1
simonmcmanus,20170225,5
simonmcmanus,20170226,2
simonmcmanus,20170227,4
simonmcmanus,20170228,1
simonmcmanus,20170301,1
simonmcmanus,20170302,0
simonmcmanus,20170303,2
simonmcmanus,20170304,1
simonmcmanus,20170305,0
simonmcmanus,20170306,1
simonmcmanus,20170307,1
simonmcmanus,20170308,1
simonmcmanus,20170309,1
simonmcmanus,20170310,1
simonmcmanus,20170311,0
simonmcmanus,20170312,0
simonmcmanus,20170313,3
simonmcmanus,20170314,1
simonmcmanus,20170315,0
simonmcmanus,20170316,0
simonmcmanus,20170317,0
simonmcmanus,20170318,0
